# Order Pixel Wavelength(vac)
18 1104 4363.2919 
18 1119 4363.6981 
18 1169 4365.0211 
18 1215 4366.2465 
18 1250 4367.1570 
18 1307 4368.6454 
18 1323 4369.0589 
18 1368 4370.2231 
18 1388 4370.7226 
18 1403 4371.1037 
18 1437 4371.9811 
18 1461 4372.5569 
18 1491 4373.3239 
18 1507 4373.7175 
18 1530 4374.2678 
18 1574 4375.3529 
18 1604 4376.0867 
18 1650 4377.1836 
18 1744 4379.4070 
18 1788 4380.4433 
18 1808 4380.8971 
18 1835 4381.5170 
18 1884 4382.6328 
18 1904 4383.0912 
18 1952 4384.1610 
18 1989 4384.9862 
18 2031 4385.8879 
19 4 4370.7226 
19 15 4371.1037 
19 40 4371.9811 
19 57 4372.5569 
19 80 4373.3239 
19 92 4373.7175 
19 111 4374.2678 
19 141 4375.3529 
19 163 4376.0867 
19 196 4377.1836 
19 265 4379.4070 
19 297 4380.4433 
19 311 4380.8971 
19 330 4381.5170 
19 365 4382.6328 
19 379 4383.0912 
19 413 4384.1610 
19 440 4384.9862 
19 469 4385.8879 
19 481 4386.2885 
19 544 4388.1981 
19 569 4388.9668 
19 609 4390.2010 
19 681 4392.3440 
19 695 4392.7633 
19 744 4394.2080 
19 770 4394.9933 
19 800 4395.8570 
19 864 4397.7133 
19 883 4398.2449 
19 911 4399.0330 
19 968 4400.6418 
19 992 4401.3324 
19 1024 4402.2222 
19 1045 4402.8175 
19 1070 4403.4817 
19 1083 4403.8366 
19 1094 4404.1638 
19 1138 4405.3498 
19 1167 4406.1391 
19 1226 4407.7072 
19 1243 4408.1454 
19 1303 4409.7204 
19 1318 4410.1210 
19 1357 4411.1376 
19 1405 4412.3752 
19 1462 4413.8077 
19 1475 4414.1428 
19 1504 4414.8719 
19 1539 4415.7261 
19 1558 4416.0068 
19 1635 4418.0851 
19 1701 4419.6565 
19 1711 4419.9026 
19 1758 4421.0104 
19 1768 4421.3535 
19 1779 4421.4984 
19 1807 4422.1533 
19 1856 4423.2897 
19 1893 4424.1291 
19 1909 4424.5053 
19 1930 4424.9624 
19 1979 4426.0797 
19 1992 4426.3584 
19 2031 4427.2436 
20 54 4414.1428 
20 76 4414.8719 
20 102 4415.7261 
20 116 4416.0068 
20 172 4418.0851 
20 261 4421.0104 
20 276 4421.4984 
20 296 4422.1533 
20 331 4423.2897 
20 357 4424.1291 
20 369 4424.5053 
20 419 4426.0797 
20 455 4427.2436 
20 537 4429.7971 
20 548 4430.1268 
20 578 4431.0665 
20 590 4431.4324 
20 617 4432.2400 
20 658 4433.4965 
20 682 4434.2075 
20 700 4434.7355 
20 711 4435.0826 
20 794 4437.5299 
20 805 4437.7967 
20 818 4438.2417 
20 833 4438.6906 
20 843 4438.9680 
20 857 4439.3366 
20 878 4439.9926 
20 891 4440.3699 
20 903 4440.7074 
20 918 4441.1251 
20 935 4441.6000 
20 979 4442.8553 
20 1031 4444.3336 
20 1052 4444.9131 
20 1062 4445.1876 
20 1095 4446.2816 
20 1133 4447.0940 
20 1159 4447.8317 
20 1182 4448.4780 
20 1205 4449.0832 
20 1228 4449.7074 
20 1244 4450.1279 
20 1268 4450.7700 
20 1316 4452.0533 
20 1326 4452.2987 
20 1338 4452.6092 
20 1352 4452.9892 
20 1384 4453.8153 
20 1409 4454.4407 
20 1446 4455.3894 
20 1470 4455.9836 
20 1491 4456.5450 
20 1502 4456.9637 
20 1514 4457.1186 
20 1569 4458.4872 
20 1600 4459.2527 
20 1636 4460.1360 
20 1705 4461.8077 
20 1733 4462.4931 
20 1746 4462.7799 
20 1756 4463.0415 
20 1837 4464.9188 
20 1857 4465.3915 
20 1888 4466.1013 
20 1909 4466.5938 
20 1937 4467.2284 
20 1966 4467.8780 
20 2016 4469.0133 
21 54 4456.5450 
21 70 4457.1186 
21 111 4458.4872 
21 133 4459.2527 
21 160 4460.1360 
21 209 4461.8077 
21 230 4462.4931 
21 245 4463.0415 
21 304 4464.9188 
21 318 4465.3915 
21 343 4466.1013 
21 355 4466.5938 
21 374 4467.2284 
21 395 4467.8780 
21 430 4469.0133 
21 448 4469.5747 
21 475 4470.4433 
21 486 4470.7796 
21 533 4472.2453 
21 574 4473.5315 
21 633 4475.3285 
21 655 4476.0148 
